element_type,osmid,nodes,building,geometry,addr:RU:egrn,addr:housenumber,addr:street,source:addr
way,1190330267,"[11052388767, 11052388764, 11052388765, 11052388766, 11052388767]",yes,"POLYGON ((34.3668571 53.1404638, 34.3669802 53.1404977, 34.367058 53.1403964, 34.3669349 53.1403624, 34.3668571 53.1404638))","Брянская обл, р-н Брянский, п Свень, ул Свенская, дом 30",30,Свенская улица,ЕГРН
way,1190330268,"[11052388771, 11052388770, 11052388769, 11052388768, 11052388771]",yes,"POLYGON ((34.3667257 53.1406375, 34.3668359 53.1406589, 34.3668786 53.1405796, 34.3667683 53.1405583, 34.3667257 53.1406375))",,,,
way,1190330269,"[11052388775, 11052388772, 11052388773, 11052388774, 11052388775]",yes,"POLYGON ((34.3666694 53.1408563, 34.3667887 53.1408794, 34.3668424 53.1407797, 34.366723 53.1407566, 34.3666694 53.1408563))","Брянская область, р-н Брянский, п Свень, ул Свенская, д 34",34,Свенская улица,ЕГРН
way,1190330270,"[11052388779, 11052388776, 11052388777, 11052388778, 11052388779]",yes,"POLYGON ((34.3656287 53.1406021, 34.3657532 53.1406204, 34.3657827 53.140548, 34.3656582 53.1405297, 34.3656287 53.1406021))","обл. Брянская, р-н Брянский, п. Свень, пер. Свенский, дом 10",10,Свенский переулок,ЕГРН
way,1190330271,"[11052388783, 11052388780, 11052388781, 11052388782, 11052388783]",yes,"POLYGON ((34.3655428 53.140792, 34.3657094 53.1408075, 34.3657282 53.1407351, 34.3655616 53.1407196, 34.3655428 53.140792))","Брянская область, р-н Брянский, п Свень, пер Свенский, уч 12",12,Свенский переулок,ЕГРН
way,1190330272,"[11052388787, 11052388784, 11052388785, 11052388786, 11052388787]",yes,"POLYGON ((34.3654436 53.1410076, 34.3655819 53.1410239, 34.3656114 53.1409338, 34.3654731 53.1409175, 34.3654436 53.1410076))","обл. Брянская, р-н Брянский, п. Свень, пер. Свенский, дом 14",14,Свенский переулок,ЕГРН
way,1190330273,"[11052388791, 11052388788, 11052388789, 11052388790, 11052388791]",yes,"POLYGON ((34.3661168 53.1414002, 34.3662832 53.1414135, 34.36631 53.1412928, 34.3661436 53.1412795, 34.3661168 53.1414002))","Брянская обл, р-н Брянский, п Свень, ул Свенская, д 36",36,Свенская улица,ЕГРН
way,1190330274,"[11052388795, 11052388792, 11052388793, 11052388794, 11052388795]",yes,"POLYGON ((34.3652451 53.1416367, 34.3653281 53.1416466, 34.3653523 53.1415742, 34.3652692 53.1415643, 34.3652451 53.1416367))","Брянская область, р-н Брянский, п Свень, пер Свенский, д 18",18,Свенский переулок,ЕГРН
way,1190330275,"[11052388799, 11052388798, 11052388797, 11052388796, 11052388799]",yes,"POLYGON ((34.3653631 53.141236, 34.365451 53.1412448, 34.3654731 53.1411653, 34.3653852 53.1411565, 34.3653631 53.141236))","Брянская обл, р-н Брянский, п Свень, пер Свенский, д 16",16,Свенский переулок,ЕГРН
way,1190330276,"[11052388803, 11052388800, 11052388801, 11052388802, 11052388803]",yes,"POLYGON ((34.3647113 53.1413197, 34.3648762 53.1413362, 34.3648923 53.1412783, 34.3647274 53.1412618, 34.3647113 53.1413197))","Брянская обл, р-н Брянский, п Свень, пер Свенский, участок 11",11,Свенский переулок,ЕГРН
way,1190330277,"[11052388807, 11052388804, 11052388805, 11052388806, 11052388807]",yes,"POLYGON ((34.3645987 53.1416527, 34.3646677 53.141657, 34.3646811 53.1415781, 34.3646121 53.1415739, 34.3645987 53.1416527))","Брянская обл, р-н Брянский, п Свень, пер Свенский, участок 13",13,Свенский переулок,ЕГРН
way,1190330278,"[11052388811, 11052388808, 11052388809, 11052388810, 11052388811]",yes,"POLYGON ((34.3642554 53.1419568, 34.3643959 53.1419678, 34.3644146 53.1418809, 34.3642741 53.1418699, 34.3642554 53.1419568))",,,,
way,1190330279,"[11052388815, 11052388812, 11052388813, 11052388814, 11052388815]",yes,"POLYGON ((34.3619674 53.142137, 34.3621122 53.1421355, 34.3621096 53.1420422, 34.3619648 53.1420437, 34.3619674 53.142137))","Брянская область, р-н Брянский, п Свень, ул Молодежная, д 22Б",22Б,Молодёжная улица,ЕГРН
way,1190330280,"[11052388819, 11052388816, 11052388817, 11052388818, 11052388819]",yes,"POLYGON ((34.3616 53.1416527, 34.3617052 53.1416654, 34.3617347 53.1415769, 34.3616295 53.1415643, 34.3616 53.1416527))","Брянская область, р-н Брянский, п Свень, ул Молодежная, д 22",22,Молодёжная улица,ЕГРН
