element_type,osmid,operator,railway,ref,geometry,location,man_made,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name,opening_hours,phone,power,building,building:levels,substation,access,parking,fixme,wheelchair,shop,noname,tickets:public_transport,surface,name:ru,layer,nodes,building:flats,design:ref,start_date,height,building:colour,note:cadastre:id,year_of_construction,addr:housenumber2,building:material,roof:shape,abandoned,brand,contact:website,owner,design:note,construction,note,website,health_facility:type,healthcare,name:uk,official_short_type,pipeline,substance,utility,voltage,religion,social_facility,social_facility:for,education,education_form:parttime,education_level:primary,education_profile:music,education_system:ru_standard,landuse,building:min_level,power:output:hot_water,fee,female,male,check_date:opening_hours,toilets,denomination,shelter_type,leisure,sport,outdoor_seating,unisex,heating,voltage:primary,branch,frequency,check_date,roof:colour,roof:height,roof:material,contact:instagram,cuisine,drink:coffee,takeaway,service,service:vehicle:tyres,inscription,ways,type,name:en,old_name,old_name:de,old_name:en,roof:levels,smoking
way,552591114,,,,"POLYGON ((37.6334684 55.8503111, 37.6336709 55.8502942, 37.6336606 55.8502553, 37.6334581 55.8502722, 37.6334684 55.8503111))",,,,,,,,,,,,yes,1,,,,,,,,,,,,"[5334961997, 5334961998, 5334961999, 5334962000, 5334961997]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,552591115,,,,"POLYGON ((37.6337959 55.8507006, 37.6339361 55.8506889, 37.6339168 55.8506163, 37.6337766 55.8506281, 37.6337959 55.8507006))",,,,,,,,,,,,yes,,,,,,,,,,,,,"[5334962001, 5334962002, 5334962003, 5334962004, 5334962001]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,552603638,,,,"POLYGON ((37.6377257 55.850298, 37.6378899 55.850794, 37.6377748 55.850806, 37.6376106 55.8503101, 37.6377257 55.850298))",,,,,,,,,,,,garages,,,,,,,,,,,,,"[5335030910, 5335030911, 5335030912, 5335030913, 5335030910]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,553041631,,,,"POLYGON ((37.6274178 55.8465783, 37.6274154 55.8464971, 37.6275462 55.8464958, 37.6275487 55.8465771, 37.6274178 55.8465783))",,pipeline,,32А,,Сельскохозяйственная улица,,,,,,yes,,,,,,,,,,,,,"[5338853089, 5338853090, 5338853091, 5338853092, 5338853089]",,,,,,77:02:0014012:1000,1968,,,,,,,,,,,,,,,,substation,gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,584034178,,,,"POLYGON ((37.6296493 55.8485461, 37.629777 55.8485064, 37.6297592 55.8484884, 37.6299694 55.8484229, 37.6299767 55.8484304, 37.6301763 55.8483682, 37.6301689 55.8483608, 37.6303684 55.8482987, 37.630414 55.8483449, 37.6305843 55.8482918, 37.6304107 55.8481162, 37.6302377 55.84817, 37.6302678 55.8482005, 37.6300711 55.8482617, 37.6300599 55.8482504, 37.6299601 55.8482815, 37.6298603 55.8483125, 37.6298715 55.8483239, 37.6296745 55.8483852, 37.629632 55.8483422, 37.6294912 55.8483861, 37.6296493 55.8485461))",,,Москва,36/2,129323,Сельскохозяйственная улица,,,,,,kindergarten,2,,,,,,,,,,,,"[5583252920, 7681304430, 7681304432, 8268668274, 8268668272, 8268668271, 8268668273, 7681304433, 7681304431, 5583252919, 5583252918, 7681304428, 7681304427, 8268668269, 8268668268, 10261184670, 8268668267, 8268668270, 7681304426, 7681304429, 5583252917, 5583252920]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,611611623,,,,"POLYGON ((37.6285063 55.8484728, 37.6284995 55.8484973, 37.6279716 55.8484915, 37.6277168 55.8485794, 37.6276601 55.8485275, 37.6277644 55.8484916, 37.627793 55.8484485, 37.6279688 55.8484075, 37.6282872 55.848411, 37.6282297 55.8483582, 37.6281471 55.8483573, 37.627526 55.847927, 37.6276502 55.8478713, 37.6285063 55.8484728))",,,,,,,,,,,,garages,,,,,,,,,,,,,"[317029001, 9288791960, 317029003, 5790108083, 5790108082, 8319839165, 8319839166, 5790108081, 5790108080, 5790108079, 5790108078, 5790108077, 5790108076, 317029001]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,620857861,,,,"POLYGON ((37.6377866 55.8570724, 37.637733 55.8570858, 37.6378285 55.8572191, 37.6377475 55.8572364, 37.6376958 55.857249, 37.6376624 55.8572023, 37.6375365 55.857232, 37.6374479 55.857253, 37.6373118 55.8570715, 37.6371627 55.8568726, 37.637379 55.8568215, 37.6374357 55.8568973, 37.6376223 55.8568532, 37.6377034 55.8569614, 37.6377866 55.8570724))",,,,35,,проезд Русанова,,,,,,apartments,9,,,,,,,,,,,,"[431592792, 3254859270, 3254859281, 3254859283, 3254859284, 705685504, 3244755906, 705685493, 3244755902, 705685498, 705685501, 431592790, 431592791, 3254859160, 431592792]",67,II-18-11/МИ вариант «Б»,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,642976249,,,,"POLYGON ((37.6375881 55.8521237, 37.6376694 55.852111, 37.6377112 55.8521953, 37.6378021 55.8521811, 37.6378841 55.8523466, 37.6372646 55.8524433, 37.6371827 55.852278, 37.6373073 55.8522585, 37.6372685 55.8521801, 37.6373598 55.8521659, 37.6372559 55.8519562, 37.6374872 55.85192, 37.6375881 55.8521237))",,,,15 к2,,улица Седова,,,,,,apartments,12,,,,,,,,,,,,"[1140091006, 1140090962, 1140090913, 1140090987, 1140090992, 1140090879, 1140090904, 1140090878, 1140090982, 1140090876, 317012313, 317012318, 1140091006]",80,II-18-21/12,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,642976250,,,,"POLYGON ((37.642166 55.8514629, 37.6423116 55.8514404, 37.6423791 55.851578, 37.6418661 55.8516573, 37.6417986 55.8515197, 37.6419294 55.8514995, 37.6418094 55.8512549, 37.642046 55.8512183, 37.6421248 55.8513789, 37.642166 55.8514629))",,,,5 к1,,улица Седова,,,,,,apartments,12,,,,,,,,,,,,"[317012302, 1321445259, 1321445251, 1321445256, 1321445255, 317012307, 317012310, 317012305, 9941108836, 317012302]",80,II-18-21/12,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,676921353,АО «ОЭК»,,10123-3,"POLYGON ((37.6701906 55.8474713, 37.6702008 55.8474995, 37.6702356 55.8474955, 37.6702254 55.8474673, 37.6701906 55.8474713))",indoor,,,,,,,,,,substation,service,1,minor_distribution,,,,,,,,,,,"[6338681058, 6338681057, 6338681056, 6338681055, 6338681058]",,,,,,,,,,,,,,,,,,,,,,ПП,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
