element_type,osmid,nodes,addr:city,addr:housenumber,addr:postcode,addr:street,building,denomination,name,religion,website,geometry,layer,building:levels,shop,man_made,tourism,ways,type,amenity
way,210207568,"[2203086777, 2203086772, 2203086809, 2203086811, 2203086777]",,20А,,Первомайская улица,yes,,,,,"POLYGON ((49.0873164 53.8172997, 49.0871649 53.8172956, 49.0871572 53.8173942, 49.0873086 53.8173983, 49.0873164 53.8172997))",,,,,,,,
way,210207569,"[2203084622, 2203084624, 2203084634, 2203084633, 2203084622]",Хрящёвка,72,,Лесная улица,yes,,,,,"POLYGON ((49.0980614 53.8067939, 49.0978529 53.8067959, 49.0978549 53.8068674, 49.0980634 53.8068654, 49.0980614 53.8067939))",,,,,,,,
way,210207570,"[2203086782, 2203086779, 2203086823, 2203086827, 2203086782]",,,,,yes,,,,,"POLYGON ((49.0907441 53.8173067, 49.090607 53.8173017, 49.0905929 53.8174347, 49.09073 53.8174398, 49.0907441 53.8173067))",,,,,,,,
way,210207571,"[2203085203, 2203085207, 2203085220, 2203085217, 2203085203]",Хрящёвка,44,,улица Ленина,yes,,,,,"POLYGON ((49.0899573 53.810857, 49.0897802 53.810861, 49.0897848 53.810932, 49.0899619 53.810928, 49.0899573 53.810857))",,,,,,,,
way,210207572,"[2203085590, 2203085589, 2203085595, 2203085596, 2203085590]",Хрящёвка,56,,Школьная улица,yes,,,,,"POLYGON ((49.0829447 53.8130046, 49.0827939 53.8130046, 49.0827939 53.8130595, 49.0829447 53.8130595, 49.0829447 53.8130046))",,,,,,,,
way,210207573,"[2203085322, 2203085320, 2203085352, 2203085354, 2203085322]",,,,,yes,,,,,"POLYGON ((49.0925852 53.8113716, 49.0924194 53.8113675, 49.0924035 53.8115887, 49.0925693 53.8115928, 49.0925852 53.8113716))",,,,,,,,
way,210207574,"[2203085687, 2203085686, 2203085715, 2203085716, 2203085687]",,,,,yes,,,,,"POLYGON ((49.0864223 53.813716, 49.0862821 53.8137137, 49.086277 53.8138205, 49.0864172 53.8138228, 49.0864223 53.813716))",,,,,,,,
way,210207575,"[2203086703, 2203086702, 2203086718, 2203086720, 2203086703]",,,,,yes,,,,,"POLYGON ((49.0878685 53.8170786, 49.0877118 53.8170765, 49.0877103 53.8171147, 49.087867 53.8171167, 49.0878685 53.8170786))",,,,,,,,
way,210207576,"[2203084899, 2203084898, 2203084917, 2203084918, 2203084899]",Хрящевка,12,445146,улица Мира,yes,,,,,"POLYGON ((49.0939372 53.809111, 49.0933474 53.8090981, 49.0933396 53.8092215, 49.0939295 53.8092345, 49.0939372 53.809111))",,2,,,,,,
way,210207577,"[2203085836, 2203085834, 2203085888, 2203085889, 2203085836]",,,,,yes,,,,,"POLYGON ((49.0856157 53.8144703, 49.0854647 53.8144687, 49.0854615 53.8145728, 49.0856125 53.8145745, 49.0856157 53.8144703))",,,,,,,,
way,210207578,"[2203086656, 2203086654, 2203086680, 2203086682, 2203086656]",,,,,yes,,,,,"POLYGON ((49.0923763 53.8169401, 49.0922073 53.8169401, 49.0922073 53.817017, 49.0923763 53.817017, 49.0923763 53.8169401))",,,,,,,,
way,210207579,"[2203085545, 2203085547, 2203085551, 2203085550, 2203085545]",Хрящёвка,51,,Школьная улица,yes,,,,,"POLYGON ((49.0822476 53.8125503, 49.0820968 53.8125541, 49.0821009 53.8126114, 49.0822518 53.8126076, 49.0822476 53.8125503))",,,,,,,,
way,210207580,"[2203086140, 2203086139, 2203086160, 2203086161, 2203086140]",Хрящёвка,79,,улица Ленина,yes,,,,,"POLYGON ((49.0880431 53.8155242, 49.0878459 53.8155242, 49.0878459 53.8156334, 49.0880431 53.8156334, 49.0880431 53.8155242))",,,,,,,,
way,210207581,"[2203085442, 2203085441, 2203085487, 2203085488, 2203085442]",,,,,yes,,,,,"POLYGON ((49.0883681 53.8120648, 49.0882005 53.8120607, 49.0881928 53.8121705, 49.0883605 53.8121746, 49.0883681 53.8120648))",,,,,,,,
way,210207582,"[2203086676, 2203086678, 2203086698, 2203086696, 2203086676]",,,,,yes,,,,,"POLYGON ((49.0907723 53.8170053, 49.0906173 53.8170074, 49.0906192 53.8170573, 49.0907742 53.8170552, 49.0907723 53.8170053))",,,,,,,,
way,210207583,"[2203085114, 2203085112, 2203085125, 2203085127, 2203085114]",Хрящёвка,42,,улица Ленина,yes,,,,,"POLYGON ((49.0899346 53.810609, 49.0897847 53.810609, 49.0897847 53.8106599, 49.0899346 53.8106599, 49.0899346 53.810609))",,,,,,,,
