element_type,osmid,geometry,amenity,building,name,shop,nodes,addr:housenumber,addr:street,addr:postcode,building:levels,description,addr:city,building:flats,start_date,phone,leisure,source:addr,operator,brand,brand:en,brand:wikidata,brand:wikipedia,contact:phone,contact:website,name:en,name:ru,opening_hours,ref,bus,public_transport,railway,architect
way,231421031,"POLYGON ((37.3975082 54.73219, 37.3973768 54.7323386, 37.3977499 54.732454, 37.3978867 54.732303, 37.3975082 54.73219))",,yes,Пионер,,"[2398128967, 2398128971, 2398128976, 2398128970, 2398128967]",,,,2,,,,,,sports_centre,,,,,,,,,,,,,,,,
way,231967365,"POLYGON ((37.40064 54.7306766, 37.4010914 54.7306919, 37.4011037 54.7305713, 37.4004544 54.7305493, 37.4004268 54.7308218, 37.4006246 54.7308285, 37.40064 54.7306766))",,yes,,,"[2402882812, 2402882813, 2402882811, 2402882810, 2402882814, 2402882815, 2402882812]",36,улица Ленина,,,,Заокский,,,,,,,,,,,,,,,,,,,,
way,232316454,"POLYGON ((37.4154876 54.732947, 37.4155075 54.7334138, 37.4157116 54.7334109, 37.4156917 54.7329441, 37.4154876 54.732947))",,yes,,,"[2406775455, 2406775480, 2406775479, 2406775454, 2406775455]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232316456,"POLYGON ((37.4165226 54.7277265, 37.4169873 54.7280079, 37.4172986 54.7278364, 37.4168339 54.7275551, 37.4165226 54.7277265))",,yes,,,"[2406775064, 2406775085, 2406775070, 2406775040, 2406775064]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232316458,"POLYGON ((37.4168448 54.7331619, 37.4178079 54.7331651, 37.4178098 54.7329798, 37.4168467 54.7329766, 37.4168448 54.7331619))",,yes,,,"[2406775468, 2406775469, 2406775460, 2406775459, 2406775468]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232316460,"POLYGON ((37.4179613 54.7333203, 37.4172083 54.7333177, 37.4172065 54.7334959, 37.4179595 54.7334984, 37.4179613 54.7333203))",,yes,,,"[2406775477, 2406775476, 2406775483, 2406775484, 2406775477]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232316462,"POLYGON ((37.4140242 54.733253, 37.4142219 54.733253, 37.4142217 54.7331195, 37.4148231 54.7331194, 37.4148232 54.7332528, 37.4150319 54.7332527, 37.4150316 54.7329563, 37.414024 54.7329566, 37.4140242 54.733253))",,yes,,,"[2406775473, 2406775474, 2406775466, 2406775465, 2406775472, 2406775471, 2406775456, 2406775458, 2406775473]",1,улица Гагарина,,,,,,,,,,,,,,,,,,,,,,,,
way,232934969,"POLYGON ((37.3978697 54.7410816, 37.397998 54.7411184, 37.398484 54.7405532, 37.3983557 54.7405164, 37.3978697 54.7410816))",,yes,,,"[2412572597, 2412572598, 2412572572, 2412572570, 2412572597]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232934970,"POLYGON ((37.3984576 54.7408613, 37.3985186 54.7408788, 37.3987116 54.7406543, 37.3986506 54.7406368, 37.3984576 54.7408613))",,yes,,,"[2412572586, 2412572588, 2412572575, 2412572574, 2412572586]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232958271,"POLYGON ((37.3983063 54.7343842, 37.3982436 54.7344567, 37.3981708 54.7344357, 37.3981106 54.7345053, 37.3983118 54.7345634, 37.3983228 54.7345507, 37.3984074 54.7345751, 37.3984702 54.7345027, 37.3983855 54.7344782, 37.3984931 54.734354, 37.3981385 54.7342516, 37.3982431 54.7341308, 37.3980687 54.7340805, 37.3978521 54.7343307, 37.3980911 54.7343997, 37.3981449 54.7343376, 37.3983063 54.7343842))",,yes,,,"[2412804192, 2412804199, 2412804195, 2412804204, 2412804207, 2412804206, 2412804208, 2412804203, 2412804202, 2412804190, 2412804185, 2412804180, 2412804178, 2412804187, 2412804193, 2412804189, 2412804192]",54,улица Ленина,301000,,,Заокский,,,,,,,,,,,,,,,,,,,,
way,232958272,"POLYGON ((37.3985045 54.7349734, 37.3987074 54.7350308, 37.3987347 54.7349986, 37.3988917 54.7348137, 37.3986888 54.7347563, 37.3985045 54.7349734))",,yes,,,"[2412804215, 2412804216, 6985320678, 2412804214, 2412804211, 2412804215]",27А,улица Поленова,,,,,,,,,,,,,,,,,,,,,,,,
way,232958273,"POLYGON ((37.4117322 54.7370828, 37.4122948 54.737365, 37.4124295 54.7372754, 37.411867 54.7369933, 37.4117322 54.7370828))",,yes,,,"[2412804260, 2412804263, 2412804262, 2412804257, 2412804260]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232958274,"POLYGON ((37.4062309 54.74344, 37.4063393 54.7435685, 37.4071634 54.7433367, 37.407055 54.7432082, 37.4062309 54.74344))",,yes,,,"[2412804333, 2412804334, 2412804332, 2412804329, 2412804333]",,,,,,,,,,,,,,,,,,,,,,,,,,
