element_type,osmid,source,geometry,addr:housenumber,addr:street,fixme,wheelchair,addr:city,name,opening_hours,tourism,building,nodes,building:levels,building:material,addr:postcode,description,roof:shape,amenity,addr2:housenumber,addr2:street,phone,generator:method,addr:country,addr:district,addr:region,note,name:en,shop,name:ru,religion,website,administrative,office,layer,man_made,addr:place,roof:levels,power,bench,shelter,healthcare,addr:full,alt_name,brand,brand:en,brand:wikidata,brand:wikipedia,contact:email,contact:facebook,contact:instagram,contact:ok,contact:phone,contact:vk,contact:website,operator,ref,service,ways,type
way,87201259,,"POLYGON ((34.4713869 62.9120301, 34.4719338 62.9118066, 34.4717676 62.9117223, 34.4712207 62.9119458, 34.4713869 62.9120301))",14,улица М.Горького,,,Медвежьегорск,,,,apartments,"[1013989515, 1013989517, 1013989583, 1013989492, 1013989515]",4,,186350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87201261,,"POLYGON ((34.469219 62.9110519, 34.4694499 62.9109466, 34.4691168 62.9107951, 34.469294 62.9107143, 34.4697982 62.9109435, 34.4700433 62.9108317, 34.469468 62.9105702, 34.4688462 62.9102875, 34.4686155 62.9103927, 34.4691406 62.9106315, 34.4689453 62.9107205, 34.468629 62.9105767, 34.4684017 62.9106804, 34.469219 62.9110519))",20А,улица К.Либкнехта,,,Медвежьегорск,,,,school,"[1013989508, 1013989585, 1013989593, 1013989618, 1013989451, 1013989608, 3056763426, 1013989559, 1013989594, 1013989404, 1013989589, 1013989536, 1013989477, 1013989508]",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87207072,,"POLYGON ((34.5130941 62.9129746, 34.5132506 62.9128882, 34.5135509 62.913001, 34.5133943 62.9130874, 34.5130941 62.9129746))",27,улица Чкалова,,,Медвежьегорск,,,,yes,"[1014050557, 1014050606, 1014050624, 1014050657, 1014050557]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87207074,,"POLYGON ((34.5172241 62.9128177, 34.5173615 62.9127204, 34.5175687 62.9127811, 34.5174312 62.9128783, 34.5172241 62.9128177))",9,улица Омелина,,,Медвежьегорск,,,,yes,"[1014050583, 1014050632, 1014050504, 1014050680, 1014050583]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87207075,,"POLYGON ((34.5131055 62.9135196, 34.5132372 62.9133747, 34.5129154 62.913314, 34.5127836 62.9134588, 34.5131055 62.9135196))",25,улица Чкалова,,,Медвежьегорск,,,,yes,"[1014050536, 1014050654, 1014050630, 1014050652, 1014050536]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87207076,,"POLYGON ((34.5145273 62.9131191, 34.514672 62.9129608, 34.514885 62.9130012, 34.5147403 62.9131594, 34.5145273 62.9131191))",29,улица Чкалова,,,Медвежьегорск,,,,yes,"[1014050619, 1014050679, 1014050615, 1014050672, 1014050619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87207081,,"POLYGON ((34.5159517 62.9131463, 34.5162742 62.913106, 34.5161747 62.9129407, 34.5159573 62.9129679, 34.5159314 62.9129247, 34.5158263 62.9129378, 34.5159517 62.9131463))",31,улица Чкалова,,,Медвежьегорск,,,chalet,yes,"[1014050546, 1014050636, 1014050671, 1606564874, 1606564873, 1014050574, 1014050546]",,,,,,,,,,,RU,Медвежьегорский район,Карелия республика,reception building for Малая Медвежка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87207082,,"POLYGON ((34.5188128 62.9125053, 34.5191734 62.9123606, 34.5190114 62.9122769, 34.5186508 62.9124217, 34.5188128 62.9125053))",11,улица Омелина,,,Медвежьегорск,,,chalet,yes,"[1014050506, 1014050530, 1014050661, 1014050596, 1014050506]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87207083,,"POLYGON ((34.5199409 62.9114258, 34.5203656 62.9113358, 34.5202738 62.911246, 34.5198491 62.911336, 34.5199409 62.9114258))",15,улица Омелина,,,Медвежьегорск,,,chalet,yes,"[1014050515, 1014050603, 1014050520, 1014050586, 1014050515]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87207867,,"POLYGON ((34.5004002 62.9186113, 34.5006651 62.9185907, 34.5005508 62.9182859, 34.5002859 62.9183065, 34.5004002 62.9186113))",12,Повенецкая улица,,,Медвежьегорск,,,,yes,"[1014079913, 1014080614, 1014080184, 1014080231, 1014079913]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87207885,,"POLYGON ((34.5002793 62.918181, 34.5004926 62.9181647, 34.5004318 62.9179993, 34.5002184 62.9180156, 34.5002793 62.918181))",,,,,,,,,yes,"[1014080529, 1014080589, 1014079793, 1014079758, 1014080529]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87239285,,"POLYGON ((34.4745561 62.9157968, 34.4753537 62.915449, 34.4749489 62.9152565, 34.4744508 62.9154736, 34.4743862 62.9154429, 34.474273 62.9154913, 34.4741761 62.9155345, 34.4742291 62.9155597, 34.4741397 62.9155987, 34.4745561 62.9157968))",29,улица Дзержинского,,,Медвежьегорск,Районный дом культуры,,,yes,"[1014395453, 1014396182, 1014395627, 1014396382, 1014396707, 2669682270, 1014395926, 1014396781, 1014396047, 1014395453]",2,,,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87239290,,"POLYGON ((34.4805092 62.9144796, 34.4807507 62.9143497, 34.480584 62.9142855, 34.4803424 62.9144153, 34.4805092 62.9144796))",,,,,,,,,yes,"[1014396402, 1014395852, 1014396555, 1014396785, 1014396402]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87239291,,"POLYGON ((34.4773479 62.914096, 34.4778008 62.9139016, 34.4776611 62.9138341, 34.4772083 62.9140285, 34.4773479 62.914096))",31,улица Ленина,,,,,,,terrace,"[1014395915, 1014396588, 1014396037, 1014396684, 1014395915]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87239297,,"POLYGON ((34.4800128 62.9132075, 34.4804915 62.9130184, 34.4803604 62.9129496, 34.4798817 62.9131387, 34.4800128 62.9132075))",,,,,,,,,garages,"[1014396818, 1014396508, 1014395560, 1014396651, 1014396818]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87239302,,"POLYGON ((34.4721917 62.9121592, 34.4724697 62.9120393, 34.472253 62.9119351, 34.4719749 62.912055, 34.4721917 62.9121592))",11,улица М.Горького,,,Медвежьегорск,,,,apartments,"[1014396782, 1014396389, 1014395457, 1014395929, 1014396782]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87239304,,"POLYGON ((34.477378 62.9168506, 34.4775645 62.916789, 34.4773764 62.916671, 34.4771899 62.9167326, 34.477378 62.9168506))",37А,улица Ленина,,,Медвежьегорск,,,,yes,"[1014396046, 1014395450, 1014396180, 1014396598, 1014396046]",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87239310,,"POLYGON ((34.477309 62.9153636, 34.4782512 62.9152111, 34.4782919 62.9152667, 34.478558 62.9152197, 34.4785924 62.9151555, 34.4785736 62.915137, 34.4786863 62.9150586, 34.4783983 62.9147593, 34.4778505 62.9148975, 34.4778756 62.9149346, 34.4773403 62.9150315, 34.4774123 62.915137, 34.4780102 62.9150372, 34.4780791 62.9151056, 34.4772245 62.915261, 34.477309 62.9153636))",,,,,,,,,yes,"[1014395892, 1014396579, 1014396018, 1014396672, 1014396190, 1014396783, 1014396394, 1014395941, 1014396606, 1014396054, 1014396711, 1014395545, 1014396300, 1014395770, 1014396495, 1014395892]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,87239313,,"POLYGON ((34.4824889 62.9139865, 34.4827176 62.9139452, 34.4825551 62.9137587, 34.4824477 62.9137781, 34.482472 62.913806, 34.4823507 62.9138279, 34.4824889 62.9139865))",,,,,,,,,yes,"[1014395866, 1014396558, 1014396001, 1014396757, 1014396656, 1014395475, 1014395866]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
