key;count_all;values_all;characters;grade
piste:difficulty;175712;42;colon;g
bollard;175325;173;plain;g
name:he;175116;69013;colon;g
old_railway_operator;173169;978;plain;g
osmc:symbol;173097;29394;colon;g
fax;173020;164434;plain;g
light:method;172895;44;colon;g
drive_through;172399;113;plain;g
building:foundation_height;171859;43;colon;g
playground;169885;1207;plain;g
tracks;169810;44;plain;g
loc_name;169246;53238;plain;g
crossing:barrier;168243;37;colon;g
golf_cart;168110;17;plain;g
addr:quarter;168094;15373;colon;g
surveillance;166552;239;plain;g
parking:lane:both;165874;85;colon;g
name:sr-Latn;165748;55731;rest;g
collection_times;165284;16360;plain;g
surveillance:type;164942;55;colon;g
capacity:disabled;163940;220;colon;g
manufacturer;163839;3536;plain;g
NHD:Resolution;163054;3;letters;g
source:hgv:national_network;162819;31;colon;g
nat_ref;162172;33074;plain;g
alt_name:en;162098;39734;colon;g
source:ja;161187;59;colon;g
KSJ2:filename;159781;93;letters;g
name:prefix;158118;504;colon;g
name:zh-Hans;157927;60200;rest;g
railway:lzb;157793;9;colon;g
line;157619;1077;plain;g
payment:credit_cards;156417;82;colon;g
canvec:UUID;156226;127932;letters;g
piste:grooming;156075;88;colon;g
name:sv;154244;58148;colon;g
building:use:pl;154111;61;colon;g
source:en;153510;36;colon;g
light:lit;153417;62;colon;g
advertising;152660;150;plain;g
mtb:scale:uphill;152208;86;colon;g
addr:block_number;152141;7026;colon;g
GNS:dsg_name;148859;178;letters;g
colour:back;148688;144;colon;g
site;148567;803;plain;g
communication:mobile_phone;148541;250;colon;g
tree:ref;147801;11294;colon;g
par;147512;91;plain;g
naptan:Landmark;147130;71911;letters;g
military;145882;323;plain;g
uir_adr:ADRESA_KOD;144839;144792;letters;g
railway:preferred_direction;144372;7;colon;g
wikimedia_commons;144177;130718;plain;g
operator:short;144138;1680;colon;g
colour:text;144115;84;colon;g
dispensing;144091;291;plain;g
highspeed;142345;32;plain;g
inscription;141741;116092;plain;g
accuracy:meters;141296;32;colon;g
FIXME;140563;14084;letters;g
fhrs:id;139739;138979;colon;g
couplings;139681;107;plain;g
ref:GB:uprn;139000;137015;letters;g
is_in:county;138653;5778;colon;g
loading_gauge;138619;50;plain;g
border_type;138414;165;plain;g
toilets:wheelchair;137877;48;colon;g
length;137445;21181;plain;g
recycling:glass_bottles;137426;41;colon;g
zone;136865;2691;plain;g
source:addr:postcode;136745;524;colon;g
canvec:CODE;136366;151;letters;g
note:en;136123;5364;colon;g
building:min_level;135736;235;colon;g
abandoned:building;135714;189;colon;g
dcgis:gis_id;134154;114803;colon;g
abandoned:railway;133926;121;colon;g
camera:type;133241;55;colon;g
orientation;133014;223;plain;g
railway:radio;131676;22;colon;g
name:ko-Latn;131621;75911;rest;g
addr:neighbourhood:en;130755;1483;colon;g
network:short;130710;373;colon;g
loc_ref;130488;42239;plain;g
drinking_water;130461;110;plain;g
colour:arrow;129985;86;colon;g
park_ride;128817;103;plain;g
name:it;128470;54352;colon;g
is_in:city;128346;3179;colon;g
nat_name;127460;40796;plain;g
maxaxleload;127274;203;plain;g
light:colour;127054;56;colon;g
voltage:primary;127035;192;colon;g
camera:mount;126103;150;colon;g
ruins;125384;630;plain;g
addr:city:de;123637;211;colon;g
archaeological_site;123103;415;plain;g
maxspeed:forward;122708;130;colon;g
addr:city:it;122287;200;colon;g
parking:both;121298;24;colon;g
uic_ref;121223;65639;plain;g
source:ele;121103;1011;colon;g
cemetery;120482;69;plain;g
addr:town;120333;2197;colon;g
sidewalk:both:surface;119599;62;colon;g
social_facility;119434;562;plain;g
maxspeed:backward;118302;109;colon;g
tiger:name_direction_prefix_1;118184;51;letters;g
gtfs_id;118009;84397;plain;g
internet_access:fee;117116;120;colon;g
sidewalk:both;116967;27;colon;g
psv;116415;58;plain;g
note:city;116241;6;colon;g
contact:instagram;115814;48466;colon;g
gnis:county_name;115494;1923;colon;g
payment:visa;115101;18;colon;g
recycling:paper;115035;37;colon;g
source:addr:date;114868;4889;colon;g
expressway;114372;2;plain;g
payment:debit_cards;114022;52;colon;g
seamark:name;113749;85250;colon;g
toilets:disposal;112928;84;colon;g
location:transition;111701;41;colon;g
healthcare:speciality;111385;14394;colon;g
salt;111273;15;plain;g
proposed;110991;478;plain;g
operator:ja;110628;530;colon;g
payment:mastercard;110269;15;colon;g
light:count;109897;26;colon;g
abandoned;108871;340;plain;g
name:ja_rm;108097;24213;colon;g
naptan:PlusbusZoneRef;107950;203;letters;g
ward;107858;2591;plain;g
railway:position:exact;107143;66923;colon;g
place:CN;106671;45;letters;g
name:th;106126;50160;colon;g
tidal;104379;9;plain;g
fuel:diesel;103926;28;colon;g
species:wikidata;103902;2771;colon;g
government;103813;1742;plain;g
voltage:secondary;103695;216;colon;g
addr:street:it;103503;3740;colon;g
brand:ja;103481;849;colon;g
poles;103379;16;plain;g
snowmobile;103151;39;plain;g
railway:switch;102897;41;colon;g
official_status;102714;512;plain;g
addr:street:de;102584;3626;colon;g
payment:coins;102519;90;colon;g
priority_road;102507;34;plain;g
tower:construction;102300;832;colon;g
symbol;102287;30449;plain;g
standing;101900;3;plain;g
est_width;101885;1841;plain;g
bridge:structure;100906;183;colon;g
ownership;100649;384;plain;g
KSJ2:LOC;100570;27787;letters;g
maxspeed:hgv;100522;68;colon;g
KSJ2:RIC;100504;13076;letters;g
KSJ2:WSC;100504;1918;letters;g
KSJ2:DFD;100503;3;letters;g
KSJ2:COP_label;100261;12;letters;g
teryt:simc;100249;94568;colon;g
KSJ2:river_id;100222;27745;letters;g
KSJ2:RIN;100222;15507;letters;g
overtaking;99954;39;plain;g
reg_ref;99614;5175;plain;g
review;99541;18;plain;g
fire_hydrant:pressure;99063;1338;colon;g
product;98682;7244;plain;g
age;98355;157;plain;g
CLC:explanation;98318;8;letters;g
addr:postcode:source;97888;37;colon;g
ncat;97799;173;plain;g
ref:gurs:sta_sid;97538;96618;colon;g
hazmat;97372;24;plain;g
check_date:opening_hours;96672;1497;colon;g
source:ro;95985;20;colon;g
source:postcode;95776;373;colon;g
name:el;95251;40418;colon;g
species:it;94807;584;colon;g
name:ga;94760;44425;colon;g
lamp_flames;94131;19;plain;g
adr_les;93851;76930;plain;g
crossing:light;93703;20;colon;g
ref:linz:topo50_id;93512;93271;letters;g
pump;93153;56;plain;g
CLC:shapeId;92132;70359;letters;g
source:addr:housenumber;91728;981;colon;g
source:addr:housenumber:ref;91491;90905;colon;g
ref:sandre;91480;29158;colon;g
source:maxaxleload;91459;26;colon;g
depth;91459;6221;plain;g
source:location;91395;362;colon;g
dcgis:captureyear;91162;16;colon;g
trolley_wire;91087;10;plain;g
note:post_town;90486;11;colon;g
passenger_information_display;90288;17;plain;g
tram;90074;25;plain;g
floating;89902;7;plain;g
surface_survey;89619;1443;plain;g
disused;89539;444;plain;g
object:street;89188;6947;colon;g
demolished:building;89005;249;colon;g
ref:nsrq;88936;88930;colon;g
railway:bidirectional;88872;11;colon;g
addr:source;88495;179;colon;g
dog;88267;94;plain;g
post_box:type;87998;98;colon;g
lamp_ref;87849;86366;plain;g
status;87535;685;plain;g
swimming_pool;87328;219;plain;g
